spot_id,nucleus_id
0,566
1,391
2,231
3,438
4,376
5,840
6,479
7,173
8,942
9,599
10,78
11,641
12,863
13,559
14,114
15,598
16,573
17,161
18,35
19,850
20,649
21,96
22,427
23,241
24,98
25,139
26,726
27,773
28,224
29,962
30,230
31,841
32,73
33,16
34,24
35,91
36,34
37,718
38,962
39,746
40,215
41,698
42,360
43,399
44,500
45,484
46,388
47,602
48,849
49,251
50,226
51,386
52,633
53,495
54,934
55,173
56,939
57,123
58,832
59,475
60,742
61,67
62,940
63,74
64,156
65,469
66,823
67,712
68,954
69,517
70,626
71,364
72,442
73,445
74,571
75,647
76,461
77,645
78,962
79,490
80,462
81,799
82,893
83,81
84,956
85,25
86,118
87,841
88,867
89,148
90,965
91,779
92,686
93,147
94,101
95,490
96,163
97,952
98,311
99,646
100,145
101,746
102,455
103,610
104,842
105,560
106,385
107,344
108,282
109,526
110,881
111,428
112,43
113,886
114,313
115,683
116,724
117,633
118,354
119,292
120,735
121,600
122,607
123,899
124,629
125,326
126,504
127,425
128,688
129,244
130,64
131,968
132,795
133,21
134,194
135,973
136,222
137,98
138,104
139,344
140,526
141,941
142,31
143,403
144,425
145,789
146,342
147,802
148,64
149,817
150,431
151,640
152,345
153,300
154,289
155,399
156,961
157,871
158,233
159,299
160,72
161,455
162,484
163,246
164,167
165,735
166,249
167,18
168,65
169,397
170,197
171,188
172,661
173,875
174,693
175,370
176,184
177,118
178,884
179,32
180,174
181,676
182,69
183,333
184,923
185,214
186,209
187,833
188,814
189,164
190,47
191,550
192,832
193,391
194,230
195,807
196,647
197,150
198,354
199,21
200,890
201,566
202,255
203,151
204,48
205,503
206,574
207,397
208,316
209,206
210,258
211,489
212,5
213,302
214,316
215,64
216,39
217,425
218,405
219,720
220,864
221,347
222,523
223,360
224,492
225,868
226,201
227,147
228,660
229,361
230,376
231,709
232,888
233,348
234,969
235,465
236,47
237,324
238,188
239,241
240,406
241,563
242,509
243,703
244,711
245,65
246,947
247,316
248,360
249,932
250,495
251,105
252,920
253,727
254,874
255,981
256,352
257,711
258,567
259,974
260,76
261,627
262,541
263,322
264,569
265,149
266,812
267,626
268,960
269,625
270,937
271,647
272,488
273,334
274,965
275,976
276,572
277,777
278,168
279,927
280,353
281,207
282,765
283,706
284,123
285,128
286,312
287,362
288,696
289,809
290,61
291,696
292,220
293,802
294,976
295,346
296,150
297,819
298,780
299,699
300,877
301,143
302,793
303,85
304,96
305,884
306,814
307,729
308,430
309,200
310,560
311,710
312,564
313,89
314,827
315,999
316,445
317,449
318,823
319,142
320,902
321,972
322,470
323,778
324,102
325,18
326,77
327,658
328,553
329,498
330,191
331,698
332,504
333,212
334,687
335,840
336,794
337,459
338,495
339,373
340,686
341,114
